"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Robin Jansson","ORL","2020","CB","2201","4","1","0","0.44","-0.39","-0.44","2","0","0.22","-0.22","0.66","0.00","0.15"
"","Jeremy Kelly","COL","2020","FB","281","1","0","0","0.01","-0.01","-0.01","5","1","0.65","0.35","0.66","0.00","-0.00"
"","Jonathan dos Santos","LAG","2020","DM","666","2","0","0","0.05","-0.05","-0.05","6","0","0.60","-0.60","0.65","0.00","0.01"
"","Julio Cascante","POR","2020","CB","443","5","2","1","0.52","0.66","0.48","2","0","0.13","-0.13","0.65","0.00","0.31"
"","Tom Pettersson","CIN","2020","CB","1255","7","1","0","0.61","-0.02","-0.61","1","0","0.04","-0.04","0.65","0.00","0.38"
"","Erickson Gallardo","TOR","2020","W","195","4","2","0","0.23","-0.11","-0.23","2","0","0.41","-0.41","0.64","0.00","0.21"
"","Justen Glad","RSL","2020","CB","1391","6","3","1","0.60","0.75","0.40","1","0","0.04","-0.04","0.63","0.89","0.38"
"","Lalas Abubakar","COL","2020","CB","1658","4","1","1","0.45","0.26","0.55","3","0","0.18","-0.18","0.63","1.00","0.37"
"","Josh Williams","CLB","2020","CB","1119","4","2","0","0.61","0.16","-0.61","0","0","0.00","0.00","0.61","0.00","0.33"
"","Eric Calvillo","SJE","2020","CM","209","2","1","0","0.56","-0.48","-0.56","2","0","0.05","-0.05","0.61","0.00","0.19"
"","Winston Reid","SKC","2020","CB","795","3","2","1","0.58","0.60","0.42","1","0","0.02","-0.02","0.61","1.04","0.51"
"","Bryce Duke","LAFC","2020","CM","299","3","1","0","0.08","-0.04","-0.08","6","0","0.51","-0.51","0.60","0.00","0.04"
"","Greg Garza","CIN","2020","FB","548","1","0","0","0.01","-0.01","-0.01","7","0","0.58","-0.58","0.59","0.00","0.01"
"","Brandon Servania","FCD","2020","DM","460","3","0","0","0.37","-0.37","-0.37","3","0","0.22","-0.22","0.59","0.00","0.24"
"","Chris Mavinga","TOR","2020","CB","1650","7","1","0","0.53","-0.18","-0.53","2","0","0.06","-0.06","0.58","0.00","0.52"
"","Franco Escobar","ATL","2020","FB","1513","7","0","0","0.35","-0.35","-0.35","4","1","0.23","0.77","0.58","0.00","0.16"
"","Jordan Harvey","LAFC","2020","FB","831","2","0","0","0.11","-0.11","-0.11","5","0","0.47","-0.47","0.57","0.00","0.07"
"","Matthew Real","PHI","2020","FB","717","7","2","1","0.20","0.65","0.80","2","1","0.37","0.63","0.57","0.06","0.04"
"","Joseph Mora","DCU","2020","FB","1741","4","0","0","0.14","-0.14","-0.14","5","0","0.40","-0.40","0.54","0.00","0.08"
"","Wil Trapp","MIA","2020","DM","1488","5","2","0","0.12","0.07","-0.12","4","0","0.42","-0.42","0.54","0.00","0.07"
"","Kwadwo Opoku","LAFC","2020","W","70","1","0","0","0.53","-0.53","-0.53","0","0","0.00","0.00","0.53","0.00","0.52"
"","Dairon Asprilla","POR","2020","W","67","2","0","0","0.53","-0.53","-0.53","0","0","0.00","0.00","0.53","0.00","0.53"
"","Sean Johnson","NYC","2020","GK","2288","0","0","0","0.00","0.00","0.00","1","0","0.52","-0.52","0.52","0.00","0.00"
"","Sam Junqua","HOU","2020","FB","303","5","3","1","0.52","0.34","0.48","0","0","0.00","0.00","0.52","0.21","0.30"
"","Dante Sealy","FCD","2020","W","85","2","0","0","0.27","-0.27","-0.27","1","0","0.23","-0.23","0.51","0.00","0.46"
"","Drew Moor","COL","2020","CB","545","4","2","1","0.46","0.44","0.54","2","0","0.04","-0.04","0.50","1.67","0.58"
"","Andrés Reyes","MIA","2020","CB","1214","9","3","0","0.50","-0.21","-0.50","0","0","0.00","0.00","0.50","0.00","0.25"
"","Gordon Wild","LAG","2020","AM","40","0","0","0","0.00","0.00","0.00","1","1","0.50","0.50","0.50","0.00","0.00"
"","Florian Jungwirth","SJE","2020","CB","1733","4","1","0","0.41","-0.12","-0.41","4","0","0.09","-0.09","0.49","0.00","0.25"
"","Reggie Cannon","FCD","2020","FB","493","4","2","0","0.17","-0.09","-0.17","3","1","0.32","0.68","0.49","0.00","0.19"
"","Kai Koreniuk","LAG","2020","W","33","2","2","1","0.49","0.18","0.51","0","0","0.00","0.00","0.49","1.76","0.76"
"","Gustav Svensson","SEA","2020","DM","965","7","1","0","0.45","-0.03","-0.45","1","0","0.03","-0.03","0.48","0.00","0.38"
"","Cameron Dunbar","LAG","2020","AM","102","3","0","0","0.23","-0.23","-0.23","3","0","0.25","-0.25","0.48","0.00","0.04"
"","Paul Marie","SJE","2020","FB","408","4","2","1","0.36","0.20","0.64","2","0","0.12","-0.12","0.47","-0.00","0.01"
"","Michael Baldisimo","VAN","2020","CM","789","4","3","1","0.12","0.48","0.88","6","0","0.35","-0.35","0.47","0.82","0.08"
"","Paxton Pomykal","FCD","2020","W","180","1","1","1","0.22","0.61","0.78","3","0","0.24","-0.24","0.46","0.09","0.02"
"","Amadou Dia","SKC","2020","FB","929","1","0","0","0.01","-0.01","-0.01","7","1","0.45","0.55","0.46","0.00","0.01"
"","Scott Caldwell","NER","2020","DM","1249","2","0","0","0.18","-0.18","-0.18","4","0","0.28","-0.28","0.46","0.00","0.12"
"","Román Torres","MIA, SEA","2020","CB","422","5","0","0","0.41","-0.41","-0.41","1","0","0.04","-0.04","0.45","0.00","0.49"
"","Adrien Pérez","LAFC","2020","W","352","7","1","0","0.45","-0.42","-0.45","0","0","0.00","0.00","0.45","0.00","0.29"
"","Tony Gallacher","TOR","2020","FB","517","2","0","0","0.04","-0.04","-0.04","2","1","0.41","0.59","0.45","0.00","0.04"
"","Oniel Fisher","DCU","2020","FB","774","1","0","0","0.03","-0.03","-0.03","2","0","0.42","-0.42","0.45","0.00","0.01"
"","Frédéric Brillant","DCU","2020","CB","1865","6","3","2","0.45","0.86","1.55","0","0","0.00","0.00","0.45","2.50","0.57"
"","Matheus Rossetto","ATL","2020","CM","861","3","1","0","0.08","-0.07","-0.08","10","0","0.36","-0.36","0.45","0.00","0.05"
"","Shane O'Neill","SEA","2020","CB","1348","2","0","0","0.18","-0.18","-0.18","2","0","0.24","-0.24","0.43","0.00","0.17"
"","Osvaldo Alonso","MIN","2020","DM","819","6","1","0","0.18","-0.03","-0.18","4","0","0.24","-0.24","0.42","0.00","0.15"
"","Caden Clark","NYRB","2020","W","303","5","2","2","0.27","1.08","1.73","1","0","0.15","-0.15","0.42","2.03","0.25"
"","Anton Walkes","ATL","2020","CB","1479","7","3","0","0.40","-0.05","-0.40","1","0","0.01","-0.01","0.42","0.00","0.37"
"","Víctor Cabrera","HOU","2020","CB","723","5","1","0","0.39","-0.18","-0.39","1","0","0.01","-0.01","0.41","0.00","0.32"
"","Derek Cornelius","VAN","2020","CB","1127","7","1","0","0.39","-0.13","-0.39","0","0","0.00","0.00","0.39","0.00","0.15"
"","Tomás Conechny","POR","2020","W","217","4","1","0","0.14","0.16","-0.14","3","0","0.25","-0.25","0.39","0.00","0.02"
"","Cameron Duke","SKC","2020","CM","262","2","1","0","0.11","-0.06","-0.11","5","0","0.27","-0.27","0.39","0.00","0.08"
"","John Nelson","FCD","2020","FB","786","2","1","0","0.06","-0.04","-0.06","1","1","0.31","0.69","0.38","0.00","0.05"
"","Dru Yearwood","NYRB","2020","CM","650","3","1","0","0.11","-0.08","-0.11","4","0","0.26","-0.26","0.37","0.00","0.05"
"","Xavier Arreaga","SEA","2020","CB","1158","3","1","0","0.09","-0.03","-0.09","1","1","0.28","0.72","0.37","0.00","0.08"
"","Matt LaGrassa","NSH","2020","CM","409","2","1","0","0.21","-0.17","-0.21","3","0","0.16","-0.16","0.37","0.00","0.12"
"","Álvaro Barreal","CIN","2020","W","348","6","0","0","0.37","-0.37","-0.37","0","0","0.00","0.00","0.37","0.00","0.24"
"","Jay Chapman","MIA","2020","DM","254","2","0","0","0.17","-0.17","-0.17","2","0","0.19","-0.19","0.36","0.00","0.17"
"","Ranko Veselinovic","VAN","2020","CB","1534","5","0","0","0.26","-0.26","-0.26","2","0","0.09","-0.09","0.35","0.00","0.06"
"","Siad Haji","SJE","2020","W","69","1","1","0","0.27","-0.08","-0.27","2","0","0.07","-0.07","0.34","0.00","0.01"
"","Franko Kovacevic","CIN","2020","ST","97","3","1","0","0.11","-0.10","-0.11","3","0","0.23","-0.23","0.34","0.00","0.05"
"","Andreu Fontàs","SKC","2020","CB","292","1","1","1","0.34","0.15","0.66","0","0","0.00","0.00","0.34","0.35","0.12"
"","Tate Schmitt","RSL","2020","DM","274","1","0","0","0.02","-0.02","-0.02","2","0","0.32","-0.32","0.33","0.00","0.01"
"","Jalil Anibaba","NSH","2020","FB","648","5","2","0","0.32","0.39","-0.32","0","0","0.00","0.00","0.32","0.00","0.29"
"","Eric Miller","NSH","2020","FB","472","1","0","0","0.32","-0.32","-0.32","0","0","0.00","0.00","0.32","0.00","0.32"
"","Jeizon Ramírez","RSL","2020","W","140","5","1","0","0.27","-0.18","-0.27","1","0","0.04","-0.04","0.32","0.00","0.38"
"","Roberto Puncec","SKC","2020","CB","1858","3","1","0","0.19","-0.05","-0.19","2","1","0.12","0.88","0.31","0.00","0.12"
"","Marlon Hairston","MIN","2020","DM","452","2","0","0","0.13","-0.13","-0.13","3","0","0.18","-0.18","0.31","0.00","0.13"
"","Robinho","ORL","2020","W","169","3","1","0","0.30","-0.09","-0.30","0","0","0.00","0.00","0.30","0.00","0.20"
"","Erik Godoy","VAN","2020","CB","1025","2","0","0","0.24","-0.24","-0.24","2","0","0.06","-0.06","0.30","0.00","0.20"
"","Sebastian Berhalter","CLB","2020","DM","442","6","0","0","0.15","-0.15","-0.15","5","0","0.15","-0.15","0.29","0.00","0.06"
"","Bressan","FCD","2020","CB","1309","4","1","0","0.29","-0.16","-0.29","0","0","0.00","0.00","0.29","0.00","0.12"
"","Guram Kashia","SJE","2020","CB","544","3","1","0","0.29","-0.14","-0.29","0","0","0.00","0.00","0.29","0.00","0.17"
"","Dejan Jakovic","LAFC","2020","CB","1192","3","1","1","0.24","0.09","0.76","2","0","0.06","-0.06","0.29","0.52","0.16"
"","Ike Opara","MIN","2020","CB","196","2","2","2","0.29","0.40","1.71","0","0","0.00","0.00","0.29","0.70","0.14"
"","Jordy Delem","SEA","2020","DM","805","3","0","0","0.20","-0.20","-0.20","3","0","0.08","-0.08","0.29","0.00","0.27"
"","Tanner Beason","SJE","2020","CB","869","5","0","0","0.19","-0.19","-0.19","1","0","0.09","-0.09","0.28","0.00","0.17"
"","Zico Bailey","CIN","2020","FB","321","1","0","0","0.03","-0.03","-0.03","4","0","0.25","-0.25","0.27","0.00","0.02"
"","Nico Lemoine","HOU","2020","W","231","2","0","0","0.09","-0.09","-0.09","2","0","0.18","-0.18","0.27","0.00","0.09"
"","Jorge Moreira","POR","2020","FB","92","1","0","0","0.27","-0.27","-0.27","0","0","0.00","0.00","0.27","0.00","0.19"
"","Paul Arriola","DCU","2020","FB","30","3","0","0","0.27","-0.27","-0.27","0","0","0.00","0.00","0.27","0.00","0.16"
"","Sam Nicholson","COL","2020","W","180","3","0","0","0.17","-0.17","-0.17","2","0","0.09","-0.09","0.26","0.00","0.13"
"","Karifa Yao","MTL","2020","CB","138","2","0","0","0.25","-0.25","-0.25","0","0","0.00","0.00","0.25","0.00","0.05"
"","Amro Tarek","NYRB","2020","CB","1041","1","0","0","0.10","-0.10","-0.10","1","0","0.14","-0.14","0.24","0.00","0.06"
"","Chris Cadden","CLB","2020","FB","409","0","0","0","0.00","0.00","0.00","3","0","0.24","-0.24","0.24","0.00","0.00"
"","Joey Dezart","ORL","2020","CM","446","2","1","0","0.04","0.22","-0.04","1","0","0.20","-0.20","0.24","0.00","0.02"
"","Alex De John","ORL","2020","FB","99","0","0","0","0.00","0.00","0.00","1","0","0.24","-0.24","0.24","0.00","0.00"
"","Edgar Castillo","ATL","2020","FB","174","2","1","0","0.23","-0.11","-0.23","0","0","0.00","0.00","0.23","0.00","0.07"
"","Aljaz Struna","HOU","2020","CB","1575","2","0","0","0.19","-0.19","-0.19","1","0","0.04","-0.04","0.23","0.00","0.16"
"","Aidan Morris","CLB","2020","DM","434","2","0","0","0.08","-0.08","-0.08","2","0","0.14","-0.14","0.22","0.00","0.11"
"","Andy Najar","LAFC","2020","FB","219","0","0","0","0.00","0.00","0.00","3","1","0.22","0.78","0.22","0.00","0.00"
"","Alan Winn","NSH","2020","W","280","4","1","0","0.21","-0.17","-0.21","0","0","0.00","0.00","0.21","0.00","0.22"
"","Tim Parker","NYRB","2020","CB","1754","2","1","0","0.19","0.19","-0.19","1","0","0.03","-0.03","0.21","0.00","0.15"
"","Brandt Bronico","CHI","2020","FB","327","1","0","0","0.17","-0.17","-0.17","1","0","0.04","-0.04","0.21","0.00","0.15"
"","Danny Wilson","COL","2020","CB","804","2","1","0","0.11","-0.07","-0.11","4","0","0.09","-0.09","0.20","0.00","0.05"
"","Mikey Ambrose","MIA","2020","FB","352","1","1","1","0.02","0.16","0.98","3","0","0.17","-0.17","0.19","0.60","0.01"
"","Laurence Wyke","ATL","2020","CB","267","4","1","0","0.18","-0.11","-0.18","0","0","0.00","0.00","0.18","0.00","0.10"
"","Waylon Francis","CLB","2020","FB","226","0","0","0","0.00","0.00","0.00","2","0","0.18","-0.18","0.18","0.00","0.00"
"","Marco Farfan","POR","2020","FB","949","3","0","0","0.11","-0.11","-0.11","1","0","0.07","-0.07","0.18","0.00","0.09"
"","David Bingham","LAG","2020","GK","1660","0","0","0","0.00","0.00","0.00","1","1","0.17","0.83","0.17","0.00","0.00"
"","Mathieu Deplagne","CIN","2020","FB","1301","1","0","0","0.01","-0.01","-0.01","4","0","0.16","-0.16","0.17","0.00","0.01"
"","Brian Gutierrez","CHI","2020","W","61","1","1","0","0.10","0.21","-0.10","1","0","0.07","-0.07","0.17","0.00","0.00"
"","Ronaldo Peña","HOU","2020","ST","46","1","0","0","0.16","-0.16","-0.16","0","0","0.00","0.00","0.16","0.00","0.16"
"","Moses Nyeman","DCU","2020","CM","564","2","0","0","0.10","-0.10","-0.10","2","0","0.06","-0.06","0.16","0.00","0.06"
"","Matheus Aias","ORL","2020","ST","36","1","1","1","0.16","0.21","0.84","0","0","0.00","0.00","0.16","-0.00","-0.00"
"","Jasser Khmiri","VAN","2020","CB","429","2","0","0","0.15","-0.15","-0.15","0","0","0.00","0.00","0.15","0.00","0.10"
"","Andrés Flores","POR","2020","W","207","1","1","1","0.06","-0.02","0.94","2","0","0.10","-0.10","0.15","0.60","0.03"
"","Warren Creavalle","PHI","2020","DM","442","1","0","0","0.06","-0.06","-0.06","3","0","0.09","-0.09","0.15","0.00","0.00"
"","Sean Nealis","NYRB","2020","CB","492","2","0","0","0.12","-0.12","-0.12","1","0","0.02","-0.02","0.15","0.00","0.06"
"","Perry Kitchen","LAG","2020","DM","1845","2","0","0","0.07","-0.07","-0.07","1","0","0.07","-0.07","0.14","0.00","0.06"
"","Saad Abdul-Salaam","CIN","2020","FB","486","2","0","0","0.06","-0.06","-0.06","2","0","0.07","-0.07","0.14","0.00","0.05"
"","Jayden Nelson","TOR","2020","W","182","3","0","0","0.13","-0.13","-0.13","0","0","0.00","0.00","0.13","0.00","0.12"
"","Brad Smith","SEA","2020","FB","150","1","0","0","0.04","-0.04","-0.04","1","0","0.09","-0.09","0.13","0.00","0.03"
"","Mohammed Abu","DCU","2020","CM","363","1","0","0","0.06","-0.06","-0.06","2","0","0.07","-0.07","0.13","0.00","0.05"
"","Rashawn Dally","CIN","2020","W","91","1","0","0","0.13","-0.13","-0.13","0","0","0.00","0.00","0.13","0.00","0.13"
"","Jacob Shaffelburg","TOR","2020","W","147","1","0","0","0.09","-0.09","-0.09","1","0","0.03","-0.03","0.12","0.00","0.06"
"","Kamohelo Mokotjo","CIN","2020","DM","595","0","0","0","0.00","0.00","0.00","4","0","0.12","-0.12","0.12","0.00","0.00"
"","Ryan Raposo","VAN","2020","W","478","0","0","0","0.00","0.00","0.00","1","0","0.12","-0.12","0.12","0.00","0.00"
"","Chris Duvall","POR","2020","FB","814","1","0","0","0.01","-0.01","-0.01","1","0","0.10","-0.10","0.12","0.00","0.01"
"","Clément Bayiha","MTL","2020","FB","91","0","0","0","0.00","0.00","0.00","1","0","0.12","-0.12","0.12","0.00","0.00"
"","Liam Fraser","TOR","2020","CM","504","3","0","0","0.09","-0.09","-0.09","1","0","0.02","-0.02","0.11","0.00","0.05"
"","Jesús David Murillo","LAFC","2020","CB","450","2","0","0","0.09","-0.09","-0.09","2","0","0.02","-0.02","0.11","0.00","0.05"
"","Giancarlo González","LAG","2020","CB","819","3","2","1","0.11","0.56","0.89","0","0","0.00","0.00","0.11","0.59","0.10"
"","Everton Luiz","RSL","2020","CM","1003","3","0","0","0.11","-0.11","-0.11","0","0","0.00","0.00","0.11","0.00","0.06"
"","Josef Martínez","ATL","2020","ST","71","1","0","0","0.11","-0.11","-0.11","0","0","0.00","0.00","0.11","0.00","0.05"
"","Diedie Traore","LAG","2020","FB","104","0","0","0","0.00","0.00","0.00","1","0","0.10","-0.10","0.10","0.00","0.00"
"","Fernando Meza","ATL","2020","CB","1178","2","1","0","0.05","0.10","-0.05","1","0","0.04","-0.04","0.10","0.00","0.03"
"","Graham Smith","SKC","2020","CB","350","1","0","0","0.09","-0.09","-0.09","0","0","0.00","0.00","0.09","0.00","0.05"
"","Erik Holt","RSL","2020","CB","421","2","0","0","0.09","-0.09","-0.09","0","0","0.00","0.00","0.09","0.00","0.05"
"","Alejandro Fuenmayor","HOU","2020","CB","341","1","0","0","0.06","-0.06","-0.06","1","0","0.03","-0.03","0.09","0.00","0.09"
"","Tah Brian Anunga","NSH","2020","CM","850","3","0","0","0.09","-0.09","-0.09","0","0","0.00","0.00","0.09","0.00","0.08"
"","Joel Waterman","MTL","2020","CB","604","2","0","0","0.06","-0.06","-0.06","1","0","0.03","-0.03","0.09","0.00","0.04"
"","Axel Sjöberg","DCU","2020","CB","180","2","1","0","0.09","-0.01","-0.09","0","0","0.00","0.00","0.09","0.00","0.04"
"","Wyatt Omsberg","CHI","2020","CB","218","0","0","0","0.00","0.00","0.00","1","1","0.08","0.92","0.08","0.00","0.00"
"","Jordan Bender","ORL","2020","W","58","1","0","0","0.05","-0.05","-0.05","1","0","0.04","-0.04","0.08","0.00","0.03"
"","Jimmy Medranda","SEA, NSH","2020","FB","35","1","1","0","0.03","0.11","-0.03","1","0","0.05","-0.05","0.08","0.00","0.05"
"","Adama Diomande","LAFC","2020","ST","17","1","0","0","0.08","-0.08","-0.08","0","0","0.00","0.00","0.08","0.00","0.09"
"","Wilfried Zahibo","NER, HOU","2020","DM","334","2","0","0","0.08","-0.08","-0.08","0","0","0.00","0.00","0.08","0.00","0.04"
"","Kamal Miller","ORL","2020","FB","901","3","0","0","0.06","-0.06","-0.06","1","0","0.01","-0.01","0.07","0.00","0.06"
"","JT Marcinkowski","SJE","2020","GK","1070","0","0","0","0.00","0.00","0.00","1","0","0.07","-0.07","0.07","0.00","0.00"
"","Jahkeele Marshall-Rutty","TOR","2020","W","20","1","1","0","0.07","-0.03","-0.07","0","0","0.00","0.00","0.07","0.00","0.00"
"","Rod Fanni","MTL","2020","CB","1055","1","0","0","0.03","-0.03","-0.03","2","0","0.04","-0.04","0.07","0.00","0.02"
"","Michael Mancienne","NER","2020","CB","349","1","0","0","0.07","-0.07","-0.07","0","0","0.00","0.00","0.07","0.00","0.04"
"","Shandon Hopeau","SEA","2020","W","119","1","0","0","0.06","-0.06","-0.06","0","0","0.00","0.00","0.06","0.00","0.04"
"","Laurent Ciman","TOR","2020","CB","602","2","1","0","0.06","-0.03","-0.06","0","0","0.00","0.00","0.06","0.00","0.02"
"","David Ochoa","RSL","2020","GK","95","0","0","0","0.00","0.00","0.00","1","0","0.06","-0.06","0.06","0.00","0.00"
"","Ralph Priso-Mbongue","TOR","2020","DM","171","1","0","0","0.03","-0.03","-0.03","1","0","0.03","-0.03","0.06","0.00","0.03"
"","Joe Willis","NSH","2020","GK","2235","0","0","0","0.00","0.00","0.00","1","0","0.06","-0.06","0.06","0.00","0.00"
"","Quentin Westberg","TOR","2020","GK","1965","0","0","0","0.00","0.00","0.00","1","0","0.06","-0.06","0.06","0.00","0.00"
"","Luis Felipe","SJE","2020","CM","220","1","1","0","0.03","-0.02","-0.03","1","0","0.03","-0.03","0.06","0.00","0.00"
"","Marcelo Palomino","HOU","2020","DM","40","0","0","0","0.00","0.00","0.00","1","0","0.06","-0.06","0.06","0.00","0.00"
"","Luka Stojanovic","CHI","2020","CM","73","2","1","0","0.05","-0.01","-0.05","0","0","0.00","0.00","0.05","0.00","0.04"
"","Caleb Stanko","CIN","2020","CM","552","0","0","0","0.00","0.00","0.00","2","0","0.05","-0.05","0.05","0.00","0.00"
"","Rodrigo Schlegel","ORL","2020","CB","735","1","0","0","0.05","-0.05","-0.05","0","0","0.00","0.00","0.05","0.00","0.03"
"","Collen Warner","COL","2020","DM","297","1","0","0","0.01","-0.01","-0.01","1","0","0.03","-0.03","0.05","0.00","0.01"
"","Mohamed Traore","LAFC","2020","CB","49","1","0","0","0.04","-0.04","-0.04","0","0","0.00","0.00","0.04","0.00","0.03"
"","James Musa","MIN","2020","CB","190","0","0","0","0.00","0.00","0.00","2","0","0.04","-0.04","0.04","0.00","0.00"
"","Carlos Terán","CHI","2020","CB","30","1","0","0","0.04","-0.04","-0.04","0","0","0.00","0.00","0.04","0.00","0.04"
"","Ethan Dobbelaere","SEA","2020","W","56","1","0","0","0.04","-0.04","-0.04","0","0","0.00","0.00","0.04","0.00","0.02"
"","Brent Kallman","MIN","2020","CB","300","1","1","0","0.04","0.11","-0.04","0","0","0.00","0.00","0.04","0.00","0.00"
"","Andrew Farrell","NER","2020","CB","1869","0","0","0","0.00","0.00","0.00","1","0","0.04","-0.04","0.04","0.00","0.00"
"","Ema Twumasi","FCD","2020","W","55","0","0","0","0.00","0.00","0.00","1","0","0.04","-0.04","0.04","0.00","0.00"
"","Justin Portillo","RSL","2020","CM","292","2","0","0","0.03","-0.03","-0.03","0","0","0.00","0.00","0.03","0.00","0.03"
"","Andre Blake","PHI","2020","GK","2080","0","0","0","0.00","0.00","0.00","1","0","0.03","-0.03","0.03","0.00","0.00"
"","Jeff Attinella","POR","2020","GK","97","0","0","0","0.00","0.00","0.00","1","0","0.03","-0.03","0.03","0.00","0.00"
"","Matt Besler","SKC","2020","CB","900","1","0","0","0.02","-0.02","-0.02","1","0","0.01","-0.01","0.03","0.00","0.01"
"","Alvas Powell","MIA","2020","FB","226","1","1","0","0.03","-0.02","-0.03","0","0","0.00","0.00","0.03","0.00","0.06"
"","Joe Scally","NYC","2020","FB","84","0","0","0","0.00","0.00","0.00","1","0","0.03","-0.03","0.03","0.00","0.00"
"","Thomás Chacón","MIN","2020","W","191","1","1","0","0.03","0.00","-0.03","0","0","0.00","0.00","0.03","0.00","0.03"
"","Carlos Harvey","LAG","2020","CM","135","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0.00","0.00"
"","Tim Melia","SKC","2020","GK","1946","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0.00","0.00"
"","Foster Langsdorf","MIN","2020","W","17","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0.00","0.00"
"","Renzo Zambrano","POR","2020","DM","115","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0.00","0.00"
"","Seth Sinovic","NER","2020","FB","20","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0.00","0.00"
"","Micheal Azira","CHI","2020","DM","163","1","0","0","0.02","-0.02","-0.02","0","0","0.00","0.00","0.02","0.00","0.03"
"","Oriol Rosell","ORL","2020","DM","635","0","0","0","0.00","0.00","0.00","1","0","0.02","-0.02","0.02","0.00","0.00"
"","Shamit Shome","MTL","2020","FB","349","0","0","0","0.00","0.00","0.00","1","0","0.01","-0.01","0.01","0.00","0.00"
"","Johan Kappelhof","CHI","2020","CB","228","1","0","0","0.01","-0.01","-0.01","0","0","0.00","0.00","0.01","0.00","0.01"
"","Danny Leyva","SEA","2020","DM","70","0","0","0","0.00","0.00","0.00","1","0","0.01","-0.01","0.01","0.00","0.00"
"","Eriq Zavaleta","TOR","2020","CB","320","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Zac MacMath","RSL","2020","GK","588","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Bobby Edwards","CIN","2020","GK","199","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Santiago Patiño","ORL","2020","ST","20","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Noah Billingsley","MIN","2020","FB","13","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","David Loera","ORL","2020","DM","33","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Matt Turner","NER","2020","GK","2164","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Danilo Silva","LAFC","2020","CB","39","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Andrew Putna","RSL","2020","GK","1462","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Janio Bikel","VAN","2020","CM","1027","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Tommy McCabe","CIN","2020","AM","18","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Andre Reynolds","CHI","2020","FB","26","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Bill Hamid","DCU","2020","GK","1709","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Aboubacar Keita","CLB","2020","CB","1043","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Edwin Cerrillo","FCD","2020","AM","31","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Juan Pablo Torres","NYC","2020","W","8","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Eloy Room","CLB","2020","GK","1655","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Jack Maher","NSH","2020","CB","134","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Bobby Shuttleworth","CHI","2020","GK","1673","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Luis Argudo","MIA","2020","CM","23","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Mustafa Kizza","MTL","2020","W","28","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Josh Atencio","SEA","2020","DM","38","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Cole Turner","PHI","2020","W","7","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Brian Rowe","ORL","2020","GK","401","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Antonio Mlinar Delamea","NER","2020","CB","357","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
"","Noble Okello","TOR","2020","CM","29","0","0","0","0.00","0.00","0.00","0","0","0.00","0.00","0.00","0.00","0.00"
