"","Player","Team","Season","Position","Minutes","Shots","SoT","G","xG","xPlace","G-xG","KeyP","A","xA","A-xA","xG+xA","PA","xPA"
"","Dylan Nealis","MIA","2020","FB","1239","10","1","0","0.75","-0.72","-0.75","10","0","0.70","-0.70","1.45","0.00","0.80"
"","Chase Gasper","MIN","2020","FB","1639","17","6","1","0.64","0.23","0.36","10","1","0.78","0.22","1.42","0.81","0.50"
"","Miguel Ibarra","SEA","2020","W","312","8","3","0","1.42","-0.38","-1.42","0","0","0.00","0.00","1.42","0.00","1.13"
"","Alexander Callens","NYC","2020","CB","2131","9","3","2","1.20","0.60","0.80","1","0","0.22","-0.22","1.42","0.66","0.75"
"","Gudmundur Thórarinsson","NYC","2020","FB","802","5","1","0","0.23","-0.13","-0.23","13","1","1.18","-0.18","1.41","0.00","0.09"
"","Ulises Segura","DCU","2020","ST","745","9","5","0","0.69","0.49","-0.69","8","0","0.71","-0.71","1.40","0.00","0.51"
"","Boniek García","HOU","2020","CM","926","12","1","0","0.75","-0.25","-0.75","8","0","0.65","-0.65","1.40","0.00","0.74"
"","Kevin Paredes","DCU","2020","FB","1048","5","3","0","0.81","-0.36","-0.81","8","1","0.59","0.41","1.40","0.00","0.59"
"","João Moutinho","ORL","2020","FB","746","7","1","0","0.46","-0.38","-0.46","6","2","0.94","1.06","1.39","0.00","0.29"
"","Adrien Regattin","CIN","2020","ST","685","10","3","0","0.68","-0.41","-0.68","10","2","0.70","1.30","1.38","0.00","0.37"
"","Kai Wagner","PHI","2020","FB","1296","5","1","1","0.10","-0.03","0.90","11","2","1.27","0.73","1.38","0.53","0.06"
"","Aníbal Godoy","NSH","2020","DM","1606","23","8","1","0.98","0.58","0.02","9","0","0.39","-0.39","1.37","0.80","0.74"
"","Jhonder Cádiz","NSH","2020","ST","255","15","6","2","1.37","-0.06","0.63","0","0","0.00","0.00","1.37","1.34","1.14"
"","Felipe Hernandez","SKC","2020","CM","867","8","0","0","0.73","-0.73","-0.73","2","0","0.64","-0.64","1.37","0.00","0.66"
"","Daniel Steres","LAG","2020","CB","1852","9","3","1","1.15","0.43","-0.15","3","0","0.21","-0.21","1.36","0.66","1.21"
"","Pablo Bonilla","POR","2020","FB","947","4","0","0","0.25","-0.25","-0.25","7","0","1.11","-1.11","1.36","0.00","0.14"
"","Tristan Blackmon","LAFC","2020","FB","1078","4","1","0","0.58","-0.48","-0.58","7","0","0.77","-0.77","1.35","0.00","0.27"
"","Matt Hedges","FCD","2020","CB","1695","8","2","0","0.94","0.05","-0.94","4","0","0.40","-0.40","1.34","0.00","0.82"
"","Taylor Washington","NSH","2020","W","471","1","0","0","0.03","-0.03","-0.03","9","1","1.30","-0.30","1.33","0.00","0.05"
"","Cristián Gutiérrez","VAN","2020","FB","744","0","0","0","0.00","0.00","0.00","10","1","1.33","-0.33","1.33","0.00","0.00"
"","Leonard Owusu","VAN","2020","CM","1443","10","0","0","0.74","-0.74","-0.74","4","0","0.58","-0.58","1.32","0.00","0.38"
"","Andrew Wooten","PHI","2020","ST","537","3","1","0","0.60","-0.39","-0.60","5","1","0.71","0.29","1.31","0.00","0.04"
"","Cristian Cásseres Jr","NYRB","2020","CM","1440","13","7","2","0.63","0.75","1.37","8","1","0.68","0.32","1.31","1.35","0.38"
"","Dave Romney","NSH","2020","CB","2235","12","3","1","0.87","-0.26","0.13","4","0","0.43","-0.43","1.30","0.60","0.57"
"","José Andrés Martínez","PHI","2020","DM","1242","20","3","0","0.46","-0.28","-0.46","5","2","0.82","1.18","1.28","0.00","0.31"
"","Felipe","DCU","2020","CM","712","11","3","0","0.70","-0.43","-0.70","4","1","0.58","0.42","1.28","0.00","0.44"
"","Justin Morrow","TOR","2020","FB","1053","5","1","0","0.71","-0.69","-0.71","11","0","0.54","-0.54","1.25","0.00","0.29"
"","Antônio Carlos","ORL","2020","CB","1835","8","2","1","1.02","-0.46","-0.02","1","1","0.20","0.80","1.22","0.08","0.47"
"","Bakaye Dibassy","MIN","2020","CB","938","7","1","0","0.74","-0.45","-0.74","5","0","0.48","-0.48","1.22","0.00","0.81"
"","Rolf Feltscher","LAG","2020","FB","1276","5","1","0","0.51","-0.34","-0.51","8","1","0.68","0.32","1.20","0.00","0.43"
"","Larrys Mabiala","POR","2020","CB","1454","6","2","1","1.11","-0.03","-0.11","1","0","0.08","-0.08","1.19","0.17","0.38"
"","Jakob Glesnes","PHI","2020","CB","1660","8","2","1","0.80","0.38","0.20","5","0","0.38","-0.38","1.18","0.92","0.47"
"","Zarek Valentin","HOU","2020","FB","1783","2","0","0","0.11","-0.11","-0.11","10","2","1.06","0.94","1.17","0.00","0.11"
"","Raymon Gaddis","PHI","2020","FB","1402","5","1","0","0.23","-0.22","-0.23","6","1","0.94","0.06","1.17","0.00","0.15"
"","Matt Polster","NER","2020","DM","841","2","0","0","0.08","-0.08","-0.08","10","1","1.09","-0.09","1.17","0.00","0.01"
"","Tanner Tessmann","FCD","2020","DM","1135","16","4","0","0.53","-0.26","-0.53","10","0","0.64","-0.64","1.17","0.00","0.43"
"","Nick Hagglund","CIN","2020","CB","822","10","3","1","0.94","0.14","0.06","3","0","0.22","-0.22","1.17","0.77","0.98"
"","Jaylin Lindsey","SKC","2020","FB","1157","6","0","0","0.36","-0.36","-0.36","14","2","0.80","1.20","1.15","0.00","0.38"
"","Keegan Rosenberry","COL","2020","FB","1493","14","5","1","0.39","0.17","0.61","12","1","0.75","0.25","1.14","0.70","0.22"
"","Federico Higuaín","DCU, MIA","2020","AM","267","6","4","2","0.95","-0.20","1.05","3","0","0.18","-0.18","1.13","1.05","0.66"
"","Andrew Gutman","CIN","2020","FB","1604","4","0","0","0.38","-0.38","-0.38","11","0","0.74","-0.74","1.13","0.00","0.22"
"","Ifunanyachi Achara","TOR","2020","W","101","2","2","1","0.97","0.28","0.03","1","0","0.15","-0.15","1.12","1.52","1.46"
"","Danny Hoesen","SJE","2020","W","286","11","3","1","1.12","0.81","-0.12","0","0","0.00","0.00","1.12","0.00","0.53"
"","Patrick Mullins","TOR","2020","ST","486","8","4","1","0.71","-0.06","0.29","5","1","0.41","0.59","1.12","0.62","0.30"
"","Emanuel Maciel","MTL","2020","CM","841","1","0","0","0.06","-0.06","-0.06","8","3","1.05","1.95","1.12","0.00","0.06"
"","Russell Canouse","DCU","2020","CB","1365","5","3","2","0.91","1.23","1.09","5","0","0.21","-0.21","1.11","1.92","0.82"
"","Samuel Tetteh","NYRB","2020","ST","376","8","1","0","1.10","-1.01","-1.10","0","0","0.00","0.00","1.10","0.00","0.74"
"","Marcelo Silva","RSL","2020","CB","1415","12","4","0","0.83","0.28","-0.83","2","0","0.27","-0.27","1.10","0.00","0.77"
"","Aaron Long","NYRB","2020","CB","1454","6","4","2","0.91","0.98","1.09","2","0","0.18","-0.18","1.09","2.24","0.82"
"","Auston Trusty","COL","2020","CB","589","3","1","0","0.65","-0.48","-0.65","2","1","0.42","0.58","1.07","0.00","0.61"
"","Fatai Alashe","CIN, CLB","2020","DM","525","8","1","1","0.94","-0.11","0.06","4","0","0.13","-0.13","1.07","0.35","0.40"
"","Manuel Castro","ATL","2020","W","322","7","2","0","1.01","-0.94","-1.01","2","0","0.06","-0.06","1.06","0.00","0.89"
"","Orji Okwonkwo","MTL","2020","W","568","10","7","1","0.99","-0.21","0.01","1","0","0.05","-0.05","1.04","0.58","0.64"
"","Marc Rzatkowski","NYRB","2020","DM","790","7","3","0","0.22","0.04","-0.22","15","1","0.81","0.19","1.04","0.00","0.13"
"","George Bello","ATL","2020","FB","1777","8","2","1","0.40","0.19","0.60","6","1","0.61","0.39","1.01","0.11","0.26"
"","David Accam","NSH","2020","W","239","6","3","1","0.81","-0.14","0.19","2","0","0.19","-0.19","1.00","1.03","0.26"
"","Sean Davis","NYRB","2020","CM","1178","6","2","0","0.29","0.39","-0.29","10","0","0.70","-0.70","0.99","0.00","0.16"
"","Tony Rocha","NYC","2020","W","114","3","1","1","0.18","0.36","0.82","2","0","0.81","-0.81","0.99","0.01","0.03"
"","Mathias Jørgensen","NYRB","2020","ST","305","7","1","0","0.93","-0.85","-0.93","1","0","0.04","-0.04","0.97","0.00","0.73"
"","Miles Robinson","ATL","2020","CB","1534","9","1","0","0.83","-0.44","-0.83","3","0","0.13","-0.13","0.96","0.00","0.73"
"","Darlington Nagbe","CLB","2020","DM","1300","5","3","1","0.56","-0.42","0.44","10","0","0.39","-0.39","0.95","0.27","0.42"
"","Russell Teibert","VAN","2020","CM","1729","5","4","0","0.57","0.55","-0.57","10","0","0.38","-0.38","0.94","0.00","0.16"
"","Thiago Santos","FCD","2020","DM","1760","8","0","0","0.37","-0.37","-0.37","10","0","0.57","-0.57","0.94","0.00","0.23"
"","Omar González","TOR","2020","CB","2054","11","2","0","0.90","-0.49","-0.90","1","0","0.04","-0.04","0.94","0.00","0.66"
"","Andy Polo","POR","2020","W","855","9","2","1","0.56","0.29","0.44","3","1","0.38","0.62","0.94","0.00","0.30"
"","Bill Tuiloma","POR","2020","CB","915","12","3","1","0.76","-0.13","0.24","4","1","0.16","0.84","0.92","0.31","0.42"
"","José Bizama","HOU","2020","FB","635","3","0","0","0.45","-0.45","-0.45","4","0","0.47","-0.47","0.92","0.00","0.15"
"","Jason Pendant","NYRB","2020","FB","1765","8","0","0","0.24","-0.24","-0.24","9","1","0.67","0.33","0.91","0.00","0.17"
"","Jack Elliott","PHI","2020","CB","1107","10","6","1","0.52","0.76","0.48","2","0","0.38","-0.38","0.90","0.02","0.29"
"","Emmanuel Boateng","CLB","2020","W","377","3","1","0","0.42","-0.29","-0.42","6","0","0.48","-0.48","0.90","0.00","0.28"
"","Dániel Sallói","SKC","2020","W","199","6","3","0","0.80","-0.36","-0.80","2","0","0.10","-0.10","0.90","0.00","0.72"
"","Griffin Yow","DCU","2020","W","455","5","5","2","0.29","0.68","1.71","2","0","0.60","-0.60","0.90","1.60","0.22"
