"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Dante Sealy","FCD","2020","W","85","-0.05","-0.01","-0.03","0.06","0.01","-0.06","-0.08"
"","Joe Scally","NYC","2020","FB","81","-0.02","0.00","-0.03","-0.02","-0.00","-0.00","-0.08"
"","Gedion Zelalem","NYC","2020","W","22","-0.00","-0.00","-0.04","-0.01","-0.01","-0.00","-0.08"
"","Dominique Badji","NSH","2020","ST","788","0.27","-0.08","-0.06","0.02","-0.39","0.16","-0.08"
"","Teal Bunbury","NER","2020","W","1582","-0.75","-0.15","-0.10","-0.74","1.63","0.03","-0.08"
"","Reto Ziegler","FCD","2020","CB","1675","0.25","0.16","-0.48","0.38","-0.39","-0.01","-0.08"
"","Manuel Castro","ATL","2020","W","322","-0.06","-0.02","-0.08","-0.32","0.23","0.16","-0.09"
"","Laurence Wyke","ATL","2020","CB","267","0.03","-0.07","0.16","-0.14","-0.04","-0.02","-0.09"
"","Vito Wormgoor","CLB","2020","CB","117","-0.02","0.00","-0.12","0.07","-0.02","-0.00","-0.09"
"","Ifunanyachi Achara","TOR","2020","W","101","-0.08","-0.00","0.04","0.01","-0.13","0.07","-0.09"
"","Robinho","ORL","2020","W","169","0.02","-0.02","0.00","-0.14","-0.07","0.11","-0.09"
"","Erik Dueñas","LAFC","2020","FB","49","-0.04","-0.03","-0.02","-0.01","-0.00","-0.00","-0.09"
"","Cristian Penilla","NER","2020","W","1047","0.71","-0.06","-0.26","-0.09","-0.23","-0.16","-0.10"
"","Pedro Santos","CLB","2020","W","1983","0.09","0.23","0.43","0.38","-1.00","-0.22","-0.10"
"","Pablo Bonilla","POR","2020","FB","947","-0.19","0.05","0.17","-0.15","0.01","0.02","-0.10"
"","Graham Smith","SKC","2020","CB","350","0.04","0.02","-0.07","0.00","-0.04","-0.05","-0.10"
"","Gustav Svensson","SEA","2020","DM","965","-0.11","-0.09","-0.50","0.73","-0.16","0.04","-0.10"
"","Alexander Callens","NYC","2020","CB","2131","0.23","-0.08","-0.64","0.35","-0.06","0.10","-0.10"
"","Edwin Cerrillo","FCD","2020","AM","31","-0.03","-0.00","-0.02","-0.03","-0.02","-0.00","-0.10"
"","Ema Twumasi","FCD","2020","W","55","-0.04","-0.01","-0.03","-0.03","0.01","-0.01","-0.10"
"","Jack Price","COL","2020","DM","1438","-0.02","-0.04","-0.12","0.37","-0.25","-0.05","-0.10"
"","Jerome Kiesewetter","MIA","2020","W","36","-0.01","-0.00","-0.02","-0.02","-0.04","-0.01","-0.10"
"","Dylan Nealis","MIA","2020","FB","1239","-0.09","0.04","0.26","-0.41","0.14","-0.04","-0.11"
"","Josh Atencio","SEA","2020","DM","38","0.00","-0.05","-0.02","-0.02","-0.01","-0.00","-0.11"
"","Mohamed Traore","LAFC","2020","CB","49","-0.02","0.01","-0.03","-0.02","-0.01","-0.03","-0.11"
"","Hwang In-Beom","VAN","2020","CM","507","-0.14","0.02","0.08","0.02","-0.15","0.07","-0.11"
"","Alvas Powell","MIA","2020","FB","226","-0.19","0.05","-0.06","0.03","0.05","0.01","-0.11"
"","Brian Gutierrez","CHI","2020","W","61","-0.01","-0.00","-0.02","-0.05","-0.02","-0.01","-0.11"
"","Luka Stojanovic","CHI","2020","CM","73","-0.06","0.00","0.02","-0.04","-0.00","-0.03","-0.11"
"","Jhonder Cádiz","NSH","2020","ST","255","-0.18","-0.02","-0.05","-0.06","0.19","-0.00","-0.11"
"","Noah Billingsley","MIN","2020","FB","13","0.00","0.00","-0.12","0.00","-0.00","-0.00","-0.11"
"","Erickson Gallardo","TOR","2020","W","195","0.01","-0.00","0.05","-0.05","-0.15","0.03","-0.12"
"","Yony González","LAG","2020","ST","506","0.15","0.02","0.02","-0.18","0.00","-0.12","-0.13"
"","Taylor Washington","NSH","2020","W","471","0.05","-0.01","0.11","-0.01","-0.20","-0.06","-0.13"
"","Jacob Shaffelburg","TOR","2020","W","147","-0.11","-0.02","0.01","0.02","-0.06","0.03","-0.13"
"","Oriol Rosell","ORL","2020","DM","635","-0.10","-0.03","0.18","0.02","-0.16","-0.04","-0.13"
"","Jorge Villafaña","POR","2020","FB","1711","-0.35","-0.13","0.57","-0.20","0.05","-0.07","-0.13"
