,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
222,N. Hagglund,FC Cincinnati,28.0,26.0,708000.0,2020.0,0.13,Nick Hagglund,Nick Hagglund,CIN,D,11.0,8.0,744.0,1.0,0.0,10.0,3.0,1.0,0/0,1.0,0.0,0.12,10.0
223,M. van der Werff,FC Cincinnati,31.0,30.0,708000.0,2020.0,0.43,Maikel van der Werff,Maikel van der Werff,CIN,D,13.0,11.0,973.0,0.0,0.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
224,R. Matarrita,FC Cincinnati,26.0,26.0,2360000.0,2020.0,1.77,Ronald Matarrita,Ronald Matarrita,CIN,D,21.0,19.0,1649.0,0.0,2.0,16.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
225,Z. Bailey,FC Cincinnati,20.0,19.0,206500.0,2020.0,0.08,Zico Bailey,Zico Bailey,CIN,D,5.0,3.0,296.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
226,K. Mokotjo,FC Cincinnati,29.0,29.0,1180000.0,2020.0,-0.3,Kamohelo Mokotjo,Kamohelo Mokotjo,CIN,M,9.0,6.0,551.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
227,C. Stanko,FC Cincinnati,27.0,25.0,590000.0,2020.0,-0.53,Caleb Stanko,Caleb Stanko,CIN,M,13.0,5.0,470.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
228,A. Cruz,FC Cincinnati,25.0,22.0,1180000.0,2020.0,-0.87,Allan Cruz,Allan Cruz,CIN,M,14.0,8.0,751.0,1.0,0.0,8.0,2.0,0.0,0/0,0.0,1.0,0.12,12.5
229,H. Medunjanin,FC Cincinnati,35.0,34.0,590000.0,2020.0,1.11,Haris Medunjanin,Haris Medunjanin,CIN,M,21.0,19.0,1729.0,1.0,1.0,9.0,2.0,1.0,0/0,0.0,1.0,0.05,11.1
230,F. Amaya,FC Cincinnati,20.0,18.0,2360000.0,2020.0,-1.49,Frankie Amaya,Frankie Amaya,CIN,M,21.0,21.0,1737.0,1.0,0.0,21.0,6.0,1.0,0/0,0.0,1.0,0.05,4.8
231,Á. Barreal,FC Cincinnati,20.0,20.0,1180000.0,2020.0,-0.59,Alvaro Barreal,Alvaro Barreal,CIN,M,5.0,4.0,326.0,0.0,0.0,6.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
232,B. Mines,FC Cincinnati,20.0,20.0,236000.0,2020.0,-0.01,Ben Mines,Ben Mines,CIN,M,5.0,1.0,172.0,1.0,1.0,3.0,1.0,0.0,0/0,0.0,1.0,0.52,33.3
233,J. Locadia,FC Cincinnati,27.0,26.0,5900000.0,2020.0,-1.51,Jurgen Locadia,Jurgen Locadia,CIN,F,17.0,15.0,1364.0,1.0,0.0,51.0,14.0,0.0,0/0,0.0,1.0,0.07,2.0
