,player,club,age,join_age,usd,Season,Goals Added,name,Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,GWG,PKG/A,HmG,RdG,G/90min,SC%
166,I. Tajouri-ShradiI,New York City FC,26.0,23.0,1180000.0,2020.0,-0.19,Ismael Tajouri-Shradi,Ismael Tajouri-Shradi,NYC,F,15.0,6.0,670.0,3.0,1.0,21.0,8.0,2.0,1/1,2.0,1.0,0.4,14.3
167,V. Castellanos,New York City FC,22.0,20.0,4720000.0,2020.0,1.75,Valentin Castellanos,Valentin Castellanos,NYC,F,22.0,14.0,1341.0,6.0,3.0,75.0,34.0,1.0,2/2,4.0,2.0,0.4,8.0
168,W. Zimmerman,Nashville SC,27.0,26.0,3540000.0,2020.0,0.71,Walker Zimmerman,Walker Zimmerman,NSH,D,22.0,22.0,1955.0,3.0,1.0,19.0,9.0,0.0,0/0,2.0,1.0,0.14,15.8
169,D. Romney,Nashville SC,27.0,26.0,708000.0,2020.0,0.08,Dave Romney,Dave Romney,NSH,D,23.0,23.0,2070.0,1.0,2.0,12.0,3.0,0.0,0/0,0.0,1.0,0.04,8.3
170,J. Anibaba,Nashville SC,32.0,31.0,472000.0,2020.0,-0.16,Jalil Anibaba,Jalil Anibaba,NSH,D,12.0,6.0,582.0,0.0,0.0,5.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
171,J. Maher,Nashville SC,21.0,20.0,177000.0,2020.0,0.06,Jack Maher,Jack Maher,NSH,D,3.0,2.0,127.0,0.0,0.0,0.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
172,D. Lovitz,Nashville SC,29.0,28.0,1180000.0,2020.0,0.35,Daniel Lovitz,Daniel Lovitz,NSH,D,21.0,21.0,1890.0,1.0,2.0,8.0,1.0,0.0,0/0,0.0,1.0,0.05,12.5
173,T. Washington,Nashville SC,27.0,26.0,413000.0,2020.0,-0.13,Taylor Washington,Taylor Washington,NSH,D,14.0,2.0,389.0,0.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
174,A. Johnston,Nashville SC,22.0,21.0,2360000.0,2020.0,-0.15,Alistair Johnston,Alistair Johnston,NSH,D,18.0,15.0,1366.0,0.0,1.0,4.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
175,E. Miller,Nashville SC,28.0,26.0,472000.0,2020.0,-0.33,Eric Miller,Eric Miller,NSH,D,6.0,5.0,435.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
176,A. Godoy,Nashville SC,31.0,29.0,708000.0,2020.0,0.03,Anibal Godoy,Anibal Godoy,NSH,M-D,20.0,18.0,1494.0,1.0,0.0,23.0,8.0,1.0,0/0,1.0,0.0,0.06,4.3
177,H. Mukhtar,Nashville SC,25.0,24.0,7080000.0,2020.0,-0.94,Hany Mukhtar,Hany Mukhtar,NSH,M,15.0,13.0,1092.0,4.0,4.0,32.0,13.0,0.0,0/1,1.0,3.0,0.33,12.5
178,R. Leal,Nashville SC,24.0,22.0,3540000.0,2020.0,-0.16,Randall Leal,Randall Leal,NSH,F-M,21.0,19.0,1615.0,3.0,4.0,41.0,18.0,2.0,0/0,2.0,1.0,0.17,7.3
179,H. Bwana,Nashville SC,21.0,21.0,1180000.0,2020.0,1.01,Handwalla Bwana,Handwalla Bwana,NSH,M,7.0,2.0,217.0,1.0,1.0,5.0,3.0,0.0,0/0,0.0,1.0,0.41,20.0
180,A. Muyl,Nashville SC,25.0,24.0,944000.0,2020.0,-1.56,Alex Muyl,Alex Muyl,NSH,M,20.0,15.0,1152.0,0.0,2.0,17.0,5.0,0.0,0/0,0.0,0.0,0.0,0.0
181,J. Cádiz,Nashville SC,25.0,25.0,3540000.0,2020.0,-0.11,Jhonder Cadiz,Jhonder Cadiz,NSH,F,7.0,0.0,219.0,2.0,0.0,15.0,6.0,1.0,0/0,1.0,1.0,0.82,13.3
182,D. Ríos,Nashville SC,26.0,23.0,2360000.0,2020.0,0.38,Daniel Rios,Daniel Rios,NSH,F,18.0,8.0,697.0,4.0,0.0,25.0,8.0,1.0,0/0,4.0,0.0,0.52,16.0
183,D. Badji,Nashville SC,28.0,27.0,944000.0,2020.0,-0.08,Dominique Badji,Dominique Badji,NSH,F,12.0,10.0,750.0,1.0,1.0,18.0,5.0,0.0,0/0,1.0,0.0,0.12,5.6
184,A. Danladi,Nashville SC,25.0,24.0,708000.0,2020.0,-0.3,Abu Danladi,Abu Danladi,NSH,F,17.0,7.0,575.0,2.0,1.0,17.0,4.0,1.0,0/0,1.0,1.0,0.31,11.8
185,A. Trusty,Colorado Rapids,22.0,21.0,1180000.0,2020.0,-0.15,Auston Trusty,Auston Trusty,COL,D,8.0,5.0,525.0,0.0,1.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
186,L. Abubakar,Colorado Rapids,26.0,24.0,1180000.0,2020.0,1.23,Lalas Abubakar,Lalas Abubakar,COL,D,17.0,17.0,1515.0,1.0,0.0,4.0,1.0,0.0,0/0,1.0,0.0,0.06,25.0
187,D. Wilson,Colorado Rapids,29.0,26.0,590000.0,2020.0,0.71,Danny Wilson,Danny Wilson,COL,D,9.0,9.0,742.0,0.0,0.0,2.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
188,D. Moor,Colorado Rapids,37.0,35.0,236000.0,2020.0,0.19,Drew Moor,Drew Moor,COL,D,8.0,5.0,487.0,1.0,0.0,4.0,2.0,1.0,0/0,1.0,0.0,0.18,25.0
189,S. Vines,Colorado Rapids,21.0,18.0,2360000.0,2020.0,-1.1,Sam Vines,Sam Vines,COL,D,18.0,18.0,1620.0,1.0,3.0,3.0,1.0,0.0,0/0,0.0,1.0,0.06,33.3
190,K. Rosenberry,Colorado Rapids,27.0,25.0,1180000.0,2020.0,0.15,Keegan Rosenberry,Keegan Rosenberry,COL,D,17.0,16.0,1361.0,1.0,2.0,14.0,5.0,1.0,0/0,1.0,0.0,0.07,7.1
191,J. Kelly,Colorado Rapids,23.0,22.0,206500.0,2020.0,-0.37,Jeremy Kelly,Jeremy Kelly,COL,D,8.0,2.0,246.0,0.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
192,K. Acosta,Colorado Rapids,25.0,22.0,3540000.0,2020.0,0.7,Kellyn Acosta,Kellyn Acosta,COL,M,15.0,14.0,1150.0,2.0,1.0,27.0,11.0,1.0,0/0,0.0,2.0,0.16,7.4
193,C. Bassett,Colorado Rapids,19.0,17.0,5900000.0,2020.0,-0.14,Cole Bassett,Cole Bassett,COL,M,14.0,12.0,982.0,5.0,5.0,22.0,9.0,2.0,0/0,3.0,2.0,0.46,22.7
194,J. Price,Colorado Rapids,28.0,25.0,1180000.0,2020.0,-0.1,Jack Price,Jack Price,COL,M,16.0,14.0,1318.0,0.0,5.0,5.0,2.0,0.0,0/0,0.0,0.0,0.0,0.0
195,C. Warner,Colorado Rapids,32.0,32.0,236000.0,2020.0,-0.31,Collen Warner,Collen Warner,COL,M,7.0,4.0,263.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
196,Y. Namli,Colorado Rapids,26.0,25.0,2360000.0,2020.0,0.26,Younes Namli,Younes Namli,COL,M,17.0,16.0,1272.0,2.0,4.0,23.0,10.0,0.0,0/0,1.0,1.0,0.14,8.7
197,N. Mezquida,Colorado Rapids,29.0,26.0,708000.0,2020.0,-0.4,Nicolas Mezquida,Nicolas Mezquida,COL,F-M,17.0,2.0,463.0,1.0,1.0,18.0,7.0,0.0,0/0,1.0,0.0,0.19,5.6
198,A. Shinyashiki,Colorado Rapids,23.0,21.0,3540000.0,2020.0,-0.26,Andre Shinyashiki,Andre Shinyashiki,COL,F,15.0,13.0,1034.0,4.0,1.0,33.0,18.0,0.0,0/0,2.0,2.0,0.35,12.1
199,J. Lewis,Colorado Rapids,23.0,21.0,1180000.0,2020.0,0.15,Jonathan Lewis,Jonathan Lewis,COL,F,18.0,7.0,705.0,5.0,0.0,27.0,10.0,1.0,0/0,2.0,3.0,0.64,18.5
200,N. Benezet,Colorado Rapids,30.0,28.0,944000.0,2020.0,0.35,Nicolas Benezet,Nicolas Benezet,COL,F,12.0,5.0,491.0,0.0,3.0,9.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
201,M. Barrios,Colorado Rapids,29.0,29.0,2360000.0,2020.0,1.68,Michael Barrios,Michael Barrios,COL,M,21.0,19.0,1681.0,1.0,5.0,35.0,10.0,0.0,0/0,1.0,0.0,0.05,2.9
202,B. Galván,Colorado Rapids,20.0,19.0,295000.0,2020.0,0.09,Braian Galvan,Braian Galvan,COL,M,9.0,2.0,244.0,1.0,1.0,8.0,2.0,0.0,0/0,0.0,1.0,0.37,12.5
203,D. Rubio,Colorado Rapids,27.0,25.0,1180000.0,2020.0,-0.91,Diego Rubio,Diego Rubio,COL,F,16.0,12.0,1040.0,3.0,4.0,24.0,7.0,2.0,0/0,0.0,3.0,0.26,12.5
204,R. Puncec,Sporting Kansas City,29.0,28.0,826000.0,2020.0,-1.37,Roberto Puncec,Roberto Puncec,SKC,D,20.0,18.0,1675.0,0.0,1.0,3.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
205,A. Fontàs,Sporting Kansas City,31.0,28.0,590000.0,2020.0,0.35,Andreu Fontas,Andreu Fontas,SKC,D,3.0,3.0,270.0,1.0,0.0,1.0,1.0,0.0,0/0,1.0,0.0,0.33,100.0
206,G. Smith,Sporting Kansas City,25.0,22.0,413000.0,2020.0,-0.1,Graham Smith,Graham Smith,SKC,D,4.0,4.0,315.0,0.0,0.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
207,L. Martins,Sporting Kansas City,28.0,27.0,708000.0,2020.0,0.09,Luis Martins,Luis Martins,SKC,D,11.0,9.0,773.0,0.0,2.0,6.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
208,A. Dia,Sporting Kansas City,27.0,26.0,354000.0,2020.0,0.07,Amadou Dia,Amadou Dia,SKC,D,12.0,9.0,847.0,0.0,1.0,1.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
209,J. Lindsey,Sporting Kansas City,20.0,17.0,1180000.0,2020.0,-0.18,Jaylin Lindsey,Jaylin Lindsey,SKC,D,12.0,11.0,1059.0,0.0,2.0,6.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
210,C. Duke,Sporting Kansas City,20.0,18.0,590000.0,2020.0,-0.18,Cameron Duke,Cameron Duke,SKC,M,8.0,2.0,218.0,0.0,0.0,2.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
211,G. Zusi,Sporting Kansas City,34.0,22.0,354000.0,2020.0,-0.31,Graham Zusi,Graham Zusi,SKC,M,15.0,14.0,1224.0,1.0,1.0,21.0,4.0,1.0,0/0,1.0,0.0,0.07,4.8
212,I. Sánchez,Sporting Kansas City,30.0,26.0,1180000.0,2020.0,0.27,Ilie Sanchez,Ilie Sanchez,SKC,M,15.0,13.0,1259.0,0.0,1.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
213,G. Busio,Sporting Kansas City,18.0,15.0,4720000.0,2020.0,0.1,Gianluca Busio,Gianluca Busio,SKC,M-F,19.0,15.0,1275.0,1.0,3.0,36.0,6.0,0.0,0/0,0.0,1.0,0.07,2.8
214,F. Hernández,Sporting Kansas City,22.0,21.0,590000.0,2020.0,-0.64,Felipe Hernandez,Felipe Hernandez,SKC,M,16.0,8.0,778.0,0.0,1.0,8.0,0.0,0.0,0/0,0.0,0.0,0.0,0.0
215,R. Espinoza,Sporting Kansas City,34.0,28.0,472000.0,2020.0,-0.59,Roger Espinoza,Roger Espinoza,SKC,M,16.0,12.0,950.0,2.0,2.0,19.0,8.0,1.0,0/0,1.0,1.0,0.19,10.5
216,G. Kinda,Sporting Kansas City,26.0,26.0,4720000.0,2020.0,0.61,Gadi Kinda,Gadi Kinda,SKC,M,18.0,16.0,1394.0,6.0,4.0,35.0,11.0,1.0,0/0,3.0,3.0,0.39,17.1
217,D. Sallói,Sporting Kansas City,24.0,19.0,1180000.0,2020.0,0.16,Daniel Salloi,Daniel Salloi,SKC,F,7.0,1.0,165.0,0.0,0.0,6.0,3.0,0.0,0/0,0.0,0.0,0.0,0.0
218,J. Russell,Sporting Kansas City,30.0,27.0,1180000.0,2020.0,0.91,Johnny Russell,Johnny Russell,SKC,F,21.0,17.0,1529.0,6.0,4.0,50.0,17.0,2.0,0/0,5.0,1.0,0.35,12.0
219,A. Pulido,Sporting Kansas City,29.0,28.0,10620000.0,2020.0,0.46,Alan Pulido,Alan Pulido,SKC,F,12.0,11.0,962.0,6.0,5.0,36.0,18.0,3.0,1/1,3.0,3.0,0.56,16.7
220,K. Shelton,Sporting Kansas City,27.0,26.0,944000.0,2020.0,-0.26,Khiry Shelton,Khiry Shelton,SKC,F,20.0,17.0,1447.0,5.0,1.0,29.0,14.0,1.0,0/0,4.0,1.0,0.31,17.2
221,T. Pettersson,FC Cincinnati,30.0,29.0,767000.0,2020.0,-0.7,Tom Pettersson,Tom Pettersson,CIN,D,15.0,13.0,1142.0,0.0,0.0,7.0,1.0,0.0,0/0,0.0,0.0,0.0,0.0
